","""","""""
","""","""""
"City,""Neighborhood"",""Average Rent"""
"Los Angeles,""Jefferson Park"",""1.59"""
"Los Angeles,""El Sereno"",""1.77"""
"Los Angeles,""Winnetka"",""1.83"""
"Los Angeles,""Glassell Park"",""1.83"""
"Los Angeles,""Cypress Park"",""1.83"""
"Los Angeles,""Vermont Vista"",""1.85"""
"Los Angeles,""Vermont Knolls"",""1.85"""
"Los Angeles,""Panorama City"",""1.89"""
"Los Angeles,""Leimert Park"",""1.90"""
"Los Angeles,""North Hills"",""1.91"""
"Los Angeles,""Shadow Hills"",""1.93"""
"Los Angeles,""Sun Valley"",""1.94"""
"Los Angeles,""Hyde Park"",""1.96"""
"Los Angeles,""Arlington Heights"",""1.96"""
"Los Angeles,""Pacoima"",""1.97"""
"Los Angeles,""Arleta"",""1.97"""
"Los Angeles,""Boyle Heights"",""1.98"""
"Los Angeles,""Harvard Heights"",""1.98"""
"Los Angeles,""Sunland"",""1.99"""
"Los Angeles,""Reseda"",""2.03"""
"Los Angeles,""Eagle Rock"",""2.05"""
"Los Angeles,""Vermont - Slauson"",""2.06"""
"Los Angeles,""Mission Hills"",""2.09"""
"Los Angeles,""Van Nuys"",""2.10"""
"Los Angeles,""Tarzana"",""2.11"""
"Los Angeles,""Manchester Square"",""2.13"""
"Los Angeles,""Harvard Park"",""2.13"""
"Los Angeles,""Gramercy Park"",""2.13"""
"Los Angeles,""Chesterfield Square"",""2.13"""
"Los Angeles,""Mount Washington"",""2.14"""
"Los Angeles,""Baldwin Hills - Crenshaw"",""2.15"""
"Los Angeles,""Lake View Terrace"",""2.17"""
"Los Angeles,""Sylmar"",""2.20"""
"Los Angeles,""Montecio Heights"",""2.20"""
"Los Angeles,""West Hills"",""2.21"""
"Los Angeles,""Lake Balboa"",""2.21"""
"Los Angeles,""West Adams"",""2.23"""
"Los Angeles,""Valley Glen"",""2.25"""
"Los Angeles,""Northridge"",""2.30"""
"Los Angeles,""Vermont Square"",""2.31"""
"Los Angeles,""South Park"",""2.31"""
"Los Angeles,""Granada Hills"",""2.31"""
"Los Angeles,""Chatsworth"",""2.34"""
"Los Angeles,""Lincoln Heights"",""2.36"""
"Los Angeles,""Canoga Park"",""2.38"""
"Los Angeles,""Highland Park"",""2.38"""
"Los Angeles,""Koreatown"",""2.42"""
"Los Angeles,""Encino"",""2.49"""
"Los Angeles,""Porter Ranch"",""2.50"""
"Los Angeles,""Windsor Square"",""2.50"""
"Los Angeles,""Los Feliz"",""2.51"""
"Los Angeles,""North Hollywood"",""2.51"""
"Los Angeles,""Elysian Valley"",""2.52"""
"Los Angeles,""East Hollywood"",""2.54"""
"Los Angeles,""Sherman Oaks"",""2.54"""
"Los Angeles,""Pico - Robertson"",""2.56"""
"Los Angeles,""Atwater Village"",""2.58"""
"Los Angeles,""Silver Lake"",""2.59"""
"Los Angeles,""Westlake"",""2.63"""
"Los Angeles,""Griffith Park"",""2.66"""
"Los Angeles,""Larchmont"",""2.66"""
"Los Angeles,""Mid-City"",""2.68"""
"Los Angeles,""Echo Park"",""2.74"""
"Los Angeles,""Woodland Hills"",""2.86"""
"Los Angeles,""Hollywood Hills"",""2.91"""
